0,1
Datasets/LJSpeech-1.1/wavs/LJ049-0212.wav,"to put it in a position to reach final conclusions in this respect.,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ001-0108.wav,"it is obvious that legibility is the first thing to be aimed at in the forms of the letters;,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ001-0092.wav,"the chiswick press in eighteen forty-four revived caslon's founts, printing for messrs. longman the diary of lady willoughby.,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ049-0119.wav,"would be conducted by federal law enforcement officials, in particular, the fbi with the assistance of the secret service.,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ001-0091.wav,"so far as fine printing is concerned, though paper did not get to its worst till about eighteen forty.,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ001-0051.wav,"and paying great attention to the """"press work"""" or actual process of printing"",,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ001-0013.wav,"than in the same operations with ugly ones.,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ048-0159.wav,"agent lawson did not arrange for a prior inspection of buildings along the motorcade route,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ049-0143.wav,"major needs of personnel or other resources might be met more easily on its recommendation than they have been in the past.,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ001-0126.wav,"most of jenson's letters are designed within a square,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ048-0137.wav,"there have been references to the numerous discussions between secret service representatives and the dallas police department.,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ049-0219.wav,"these considerations have induced the commission to believe,,,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ049-0108.wav,"in addition, the restriction would probably eliminate a need for the requirement which has been urged as necessary for the exercise of federal power,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ050-0109.wav,"since the assassination, the service has recognized that these relationships must be far more formal,,,,,,,,,,,,,,,,,"
Datasets/LJSpeech-1.1/wavs/LJ001-0037.wav,and the next year gunther zeiner at augsburg followed suit;
Datasets/LJSpeech-1.1/wavs/LJ001-0057.wav,"parma, and one or two other cities, who produced the splendid editions of the classics, which are one of the great glories of the printer's art,,,,,,,,,,,,"
